country_or_type,style,count(style)
Австралия,Lemonade,14
Австрия,German Pils,4
Австрия,Doppelbock,3
Австрия,Low Alcohol,3
Австрия,International Pale Lager,3
Австрия,Helles Weizen,2
Австрия,International Amber Lager,1
Австрия,Belgian Dark Strong Ale,1
Австрия,Belgian Blond Ale,1
Австрия,Dunkel,1
Австрия,Vienna Lager,1
Австрия,BA Bock / Doppelbock,1
Австрия,Helles Kellerbier,1
Австрия,Marzen / Festbier,1
Австрия,Dortmunder / Export,1
Австрия,Munich Helles,1
Австрия,Imperial Pilsner,1
Армения,International Pale Lager,10
Армения,Dortmunder / Export,2
Армения,International Dark Lager,1
БЕЗАЛКОГОЛЬНОЕ,LEMONADE,2
БЕЗАЛКОГОЛЬНОЕ,KVASS,1
Беларусь,Melomel,3
Беларусь,Cider with Other Fruit,1
Бельгия,Oude Gueuze,87
Бельгия,Oude Kriek Lambic,67
Бельгия,Oude Fruit Lambic,58
Бельгия,Belgian Tripel,50
Бельгия,Belgian Blond Ale,45
Бельгия,Fruit lambic,40
Бельгия,Belgian Dubbel,32
Бельгия,Belgian Dark Strong Ale,32
Бельгия,Belgian Strong Ale,30
Бельгия,Oud Bruin,25
Бельгия,Fruit beer,24
Бельгия,Witbier / Blanche,24
Бельгия,Oude Lambic,24
Бельгия,Gueuze / Geuze,20
Бельгия,Strong Fruit Beer,19
Бельгия,Набор,15
Бельгия,Belgian Strong Golden Ale,15
Бельгия,Flemish Red Sour Ale,14
Бельгия,Imperial Stout,13
Бельгия,Wild Sour Ale,11
Бельгия,Kriek Lambic,10
Бельгия,BA Sour Ale,9
Бельгия,BA Wild Sour Ale,8
Бельгия,IPA,7
Бельгия,Saison,7
Бельгия,American Blond Ale,7
Бельгия,Sour Fruit Ale,6
Бельгия,International Pale Lager,6
Бельгия,BA Imperial Stout,6
Бельгия,Belgian Dark Ale,5
Бельгия,BA Belgian Dark Strong Ale,4
Бельгия,Amber Ale,4
Бельгия,Strong Traditional Ale / Strong Farmhouse Ale,3
Бельгия,Foreign Extra Stout,3
Бельгия,Patersbier,3
Бельгия,Fruited Berliner Weisse,3
Бельгия,Belgian IPA,3
Бельгия,Wild Tripel,3
Бельгия,Wild Sour Fruit Ale,2
Бельгия,Strong Spiced Ale,2
Бельгия,BA Barleywine / Wheatwine,2
Бельгия,DIPA/ IIPA,2
Бельгия,BA Belgian Blond,2
Бельгия,BA Sour Fruit Ale,2
Бельгия,Brown ale,2
Бельгия,Low Alcohol,2
Бельгия,British Porter,2
Бельгия,BA Belgian Trippel,1
Бельгия,Smoked Porter,1
Бельгия,Grisette,1
Бельгия,White IPA,1
Бельгия,Wild Quadrupel,1
Бельгия,German Pils,1
Бельгия,Strong Witbier / Blanche,1
Бельгия,Dunkel Weizen,1
Бельгия,Strong Sour Fruit Ale,1
Бельгия,Barleywine,1
Бельгия,American Wheat,1
Бельгия,Poire / Perry,1
Бельгия,Modern Hopped Lager,1
Бельгия,International Golden Ale,1
Бельгия,Herb Beer,1
Великобритания,Cider,18
Великобритания,Cider with Other Fruit,12
Великобритания,Bitter,8
Великобритания,Poire / Perry,5
Великобритания,Dry Cider,5
Великобритания,British Golden Ale,4
Великобритания,Stout,3
Великобритания,Low Alcohol,3
Великобритания,IPA,2
Великобритания,Extra Milk Stout,2
Великобритания,British IPA,2
Великобритания,Dry Stout,2
Великобритания,British Porter,2
Великобритания,Best Bitter,2
Великобритания,British Brown Ale,2
Великобритания,Sour IPA,1
Великобритания,Mulled Cider,1
Великобритания,Extra Special Bitter,1
Великобритания,New England/Vermont IPA,1
Великобритания,Wee heavy,1
Великобритания,Brown ale,1
Великобритания,Session IPA,1
Великобритания,British Strong Ale,1
Великобритания,Red Irish Ale,1
Великобритания,Fruit beer,1
Великобритания,Mild Ale,1
Вьетнам,International Pale Lager,5
Вьетнам,International Dark Lager,2
Германия,Helles Weizen,80
Германия,Munich Helles,62
Германия,German Pils,52
Германия,Low Alcohol,36
Германия,Helles Kellerbier,21
Германия,Dortmunder / Export,21
Германия,Dunkel,16
Германия,Schwarzbier,16
Германия,International Pale Lager,15
Германия,Dunkel Weizen,14
Германия,Radler,12
Германия,Cider,11
Германия,Bock,9
Германия,Marzen / Festbier,8
Германия,Dunkel Kellerbier,7
Германия,Cider with Other Fruit,6
Германия,IPA,4
Германия,American Light Lager,4
Германия,Berliner Weisse,3
Германия,Dry Cider,3
Германия,Kristall Weizen,3
Германия,Kolsch,3
Германия,Wild Sour Ale,3
Германия,Vienna Lager,3
Германия,Smoked Marzen,2
Германия,Fruited Berliner Weisse,2
Германия,Набор,2
Германия,Strong Sour Beer,2
Германия,Doppelbock,2
Германия,International Amber Lager,2
Германия,BA Saison,1
Германия,Weizenbock,1
Германия,Dunkel Doppelbock,1
Германия,Weizen Doppelbock,1
Германия,Imperial Porter,1
Германия,Saison,1
Германия,Fruit beer,1
Германия,Imperial Pilsner,1
Германия,Eisbock,1
Германия,Alcoholic Ginger Beer,1
Германия,Dunkel Weizen Doppelbock,1
Германия,APA,1
Германия,Smoked Helles,1
Германия,Modern Hopped Lager,1
Германия,Hopfen Weizen,1
Германия,Smoked Weizen,1
Германия,International Golden Ale,1
Германия,Tomato Gose,1
Германия,Dry Stout,1
Греция,International Pale Lager,3
Греция,Low Alcohol,1
Дания,International Pale Lager,1
Ирландия,Wild Sour Fruit Ale,4
Ирландия,Dry Stout,4
Ирландия,IPA,3
Ирландия,Red Irish Ale,3
Ирландия,Cider,3
Ирландия,DIPA/ IIPA,2
Ирландия,Foreign Extra Stout,2
Ирландия,APA,1
Ирландия,Poire / Perry,1
Ирландия,Graf,1
Ирландия,Munich Helles,1
Ирландия,Saison,1
Ирландия,Dry Cider,1
Ирландия,International Pale Lager,1
Ирландия,British Golden Ale,1
Ирландия,New England/Vermont IPA,1
Ирландия,International Golden Ale,1
Испания,Cider,13
Испания,Cider with Other Fruit,10
Испания,Dry Cider,10
Испания,Low Alcohol,6
Испания,Bock,4
Испания,Marzen / Festbier,2
Испания,Modern Hopped Lager,2
Испания,German Pils,2
Испания,APA,1
Испания,BA Sour Ale,1
Испания,BA Imperial Stout,1
Испания,American Blond Ale,1
Испания,Poire / Perry,1
Испания,Malt Liquor,1
Испания,Imperial Stout,1
Испания,Amber Ale,1
Испания,Fruit Gose,1
Испания,IPA,1
Испания,American Amber Ale,1
Испания,Witbier / Blanche,1
Испания,International Pale Lager,1
Испания,Fruited Berliner Weisse,1
Италия,International Pale Lager,11
Италия,Old Ale,2
Италия,BA Wild Sour Ale,1
